country;cpi_score,
Afghanistan;16,
Albania;35,
Algeria;33,
Angola;29,
Argentina;38,
Armenia;49,
Australia;73,
Austria;74,
Azerbaijan;30,
Bahamas;64,
Bahrain;42,
Bangladesh;26,
Barbados;65,
Belarus;41,
Belgium;73,
Benin;42,
Bhutan;68,
Bolivia;30,
Bosnia and Herzegovina;35,
Botswana;55,
Brazil;38,
Bulgaria;42,
Burkina Faso;42,
Burundi;19,
Cabo Verde;58,
Cambodia;23,
Cameroon;27,
Canada;74,
Central African Republic;24,
Chad;20,
Chile;67,
China;45,
Colombia;39,
Comoros;20,
Congo;21,
Costa Rica;58,
Cote d'Ivoire;36,
Croatia;47,
Cuba;46,
Cyprus;53,
Czechia;54,
Democratic Republic of the Congo;19,
Denmark;88,
Djibouti;30,
Dominica;55,
Dominican Republic;30,
Ecuador;36,
Egypt;33,
El Salvador;34,
Equatorial Guinea;17,
Eritrea;22,
Estonia;74,
Eswatini;32,
Ethiopia;39,
Fiji;55,
Finland;88,
France;71,
Gabon;31,
Gambia;37,
Georgia;55,
Germany;80,
Ghana;43,
Greece;49,
Grenada;53,
Guatemala;25,
Guinea Bissau;21,
Guinea;25,
Guyana;39,
Haiti;20,
Honduras;23,
Hong Kong;76,
Hungary;43,
Iceland;74,
India;40,
Indonesia;38,
Iran;25,
Iraq;23,
Ireland;74,
Israel;59,
Italy;56,
Jamaica;44,
Japan;73,
Jordan;49,
Kazakhstan;37,
Kenya;30,
Korea, South;62
Korea, North;16
Kosovo;39,
Kuwait;43,
Kyrgyzstan;27,
Laos;30,
Latvia;59,
Lebanon;24,
Lesotho;38,
Liberia;29,
Libya;17,
Lithuania;61,
Luxembourg;81,
Madagascar;26,
Malawi;35,
Malaysia;48,
Maldives;40,
Mali;29,
Malta;54,
Mauritania;28,
Mauritius;54,
Mexico;31,
Moldova;36,
Mongolia;35,
Montenegro;46,
Morocco;39,
Mozambique;26,
Myanmar;28,
Namibia;49,
Nepal;33,
Netherlands;82,
New Zealand;88,
Nicaragua;20,
Niger;31,
Nigeria;24,
North Macedonia;39,
Norway;85,
Oman;52,
Pakistan;28,
Panama;36,
Papua New Guinea;31,
Paraguay;30,
Peru;36,
Philippines;33,
Poland;56,
Portugal;62,
Qatar;63,
Romania;45,
Russia;29,
Rwanda;53,
Saint Lucia;56,
Saint Vincent and the Grenadines;59,
Sao Tome and Principe;45,
Saudi Arabia;53,
Senegal;43,
Serbia;38,
Seychelles;70,
Sierra Leone;34,
Singapore;85,
Slovakia;52,
Slovenia;57,
Solomon Islands;43,
Somalia;13,
South Africa;44,
South Sudan;11,
Spain;61,
Sri Lanka;37,
Sudan;20,
Suriname;39,
Sweden;85,
Switzerland;84,
Syria;13,
Taiwan;68,
Tajikistan;25,
Tanzania;39,
Thailand;35,
Timor-Leste;41,
Togo;30,
Trinidad and Tobago;41,
Tunisia;44,
Turkey;38,
Turkmenistan;19,
Uganda;27,
Ukraine;32,
United Arab Emirates;69,
United Kingdom;78,
United States of America;67,
Uruguay;73,
Uzbekistan;28,
Vanuatu;45,
Venezuela;14,
Vietnam;39,
Yemen;16,
Zambia;33,
Zimbabwe;23,